month,region,country,no_of_visitor_arrivals,year
8,Asia,"Sri Lanka, Republic Of",4501,1997
8,Asia,Saudi Arabia,3030,1997
8,Asia,Kuwait,1187,1997
8,Asia,United Arab Emirates,2764,1997
8,Europe,United Kingdom,28989,1997
8,Europe,Germany,13719,1997
8,Europe,France,8854,1997
8,Europe,Italy,7193,1997
8,Europe,Netherlands,5668,1997
8,Europe,Greece,1603,1997
8,Europe,Belgium-luxembourg,2161,1997
8,Europe,Switzerland,3729,1997
8,Europe,Austria,1629,1997
8,Europe,Scandinavia,5976,1997
8,Europe,CIS & Eastern Europe,3068,1997
8,Americas,USA,29273,1997
8,Americas,Canada,5261,1997
8,Oceania,Australia,32763,1997
8,Oceania,New Zealand,6999,1997
9,Asia,Brunei,4315,1997
9,Asia,Indonesia,85196,1997
9,Asia,Malaysia,58419,1997
9,Asia,Philippines,13253,1997
9,Asia,Thailand,13398,1997
9,Asia,Vietnam,1996,1997
9,Asia,Myanmar,2414,1997
9,Asia,Japan,98260,1997
9,Asia,Hong Kong,18212,1997
9,Asia,"China, People's Republic Of",14094,1997
9,Asia,Taiwan,37371,1997
9,Asia,"Korea, Republic Of",17260,1997
9,Asia,India,17761,1997
9,Asia,Pakistan,3445,1997
9,Asia,"Sri Lanka, Republic Of",3949,1997
9,Asia,Saudi Arabia,922,1997
9,Asia,Kuwait,309,1997
9,Asia,United Arab Emirates,1045,1997
9,Europe,United Kingdom,25188,1997
9,Europe,Germany,13194,1997
9,Europe,France,5952,1997
9,Europe,Italy,3700,1997
9,Europe,Netherlands,5505,1997
9,Europe,Greece,1062,1997
9,Europe,Belgium-luxembourg,1857,1997
9,Europe,Switzerland,3935,1997
9,Europe,Austria,1431,1997
9,Europe,Scandinavia,5794,1997
9,Europe,CIS & Eastern Europe,3143,1997
9,Americas,USA,27835,1997
9,Americas,Canada,3847,1997
9,Oceania,Australia,38277,1997
9,Oceania,New Zealand,6940,1997
10,Asia,Brunei,3845,1997
10,Asia,Indonesia,79811,1997
10,Asia,Malaysia,51022,1997
10,Asia,Philippines,13337,1997
10,Asia,Thailand,13863,1997
10,Asia,Vietnam,1876,1997
10,Asia,Myanmar,2507,1997
10,Asia,Japan,65169,1997
10,Asia,Hong Kong,14155,1997
10,Asia,"China, People's Republic Of",16586,1997
10,Asia,Taiwan,24198,1997
10,Asia,"Korea, Republic Of",13624,1997
10,Asia,India,20540,1997
10,Asia,Pakistan,3296,1997
10,Asia,"Sri Lanka, Republic Of",3733,1997
10,Asia,Saudi Arabia,617,1997
10,Asia,Kuwait,213,1997
10,Asia,United Arab Emirates,730,1997
10,Europe,United Kingdom,25982,1997
10,Europe,Germany,12420,1997
10,Europe,France,5362,1997
10,Europe,Italy,2837,1997
10,Europe,Netherlands,5155,1997
10,Europe,Greece,972,1997
10,Europe,Belgium-luxembourg,1936,1997
10,Europe,Switzerland,3883,1997
10,Europe,Austria,1366,1997
10,Europe,Scandinavia,6819,1997
10,Europe,CIS & Eastern Europe,3107,1997
10,Americas,USA,29011,1997
10,Americas,Canada,4110,1997
10,Oceania,Australia,33473,1997
10,Oceania,New Zealand,5700,1997
11,Asia,Brunei,5331,1997
11,Asia,Indonesia,86661,1997
11,Asia,Malaysia,52918,1997
11,Asia,Philippines,13791,1997
11,Asia,Thailand,12736,1997
11,Asia,Vietnam,1903,1997
11,Asia,Myanmar,2595,1997
11,Asia,Japan,80014,1997
11,Asia,Hong Kong,17991,1997
11,Asia,"China, People's Republic Of",18598,1997
11,Asia,Taiwan,26745,1997
11,Asia,"Korea, Republic Of",18583,1997
11,Asia,India,17872,1997
11,Asia,Pakistan,3109,1997
11,Asia,"Sri Lanka, Republic Of",3953,1997
11,Asia,Saudi Arabia,735,1997
11,Asia,Kuwait,201,1997
11,Asia,United Arab Emirates,859,1997
11,Europe,United Kingdom,28772,1997
11,Europe,Germany,13160,1997
11,Europe,France,5277,1997
11,Europe,Italy,2833,1997
11,Europe,Netherlands,5057,1997
11,Europe,Greece,1017,1997
11,Europe,Belgium-luxembourg,1775,1997
11,Europe,Switzerland,4596,1997
11,Europe,Austria,1319,1997
11,Europe,Scandinavia,7492,1997
11,Europe,CIS & Eastern Europe,3979,1997
11,Americas,USA,31604,1997
11,Americas,Canada,5462,1997
11,Oceania,Australia,29428,1997
11,Oceania,New Zealand,4724,1997
12,Asia,Brunei,8498,1997
12,Asia,Indonesia,102105,1997
12,Asia,Malaysia,60839,1997
12,Asia,Philippines,14552,1997
12,Asia,Thailand,15247,1997
12,Asia,Vietnam,2262,1997
12,Asia,Myanmar,2923,1997
12,Asia,Japan,81950,1997
12,Asia,Hong Kong,25219,1997
12,Asia,"China, People's Republic Of",20918,1997
12,Asia,Taiwan,33381,1997
12,Asia,"Korea, Republic Of",10230,1997
